Model,Accuracy,Precision,Recall,F1,ROC_AUC,Train Error,Test Error,n_estimators,max_samples
"BaggingClassifier(max_samples=0.5, n_estimators=100, n_jobs=-1)",0.6703296703296703,0.5185185185185185,0.45161290322580644,0.48275862068965514,0.6846774193548387,0.04878048780487809,0.3296703296703297,100,0.5
"BaggingClassifier(max_samples=0.6, n_estimators=100, n_jobs=-1)",0.6483516483516484,0.48,0.3870967741935484,0.42857142857142855,0.6626344086021505,0.024390243902439046,0.3516483516483516,100,0.6
"BaggingClassifier(max_samples=0.7, n_estimators=100, n_jobs=-1)",0.6813186813186813,0.5357142857142857,0.4838709677419355,0.5084745762711865,0.6844086021505376,0.008130081300813052,0.31868131868131866,100,0.7
"BaggingClassifier(max_samples=0.8, n_estimators=100, n_jobs=-1)",0.6593406593406593,0.5,0.41935483870967744,0.45614035087719296,0.6733870967741935,0.0027100271002710175,0.34065934065934067,100,0.8
"BaggingClassifier(max_samples=0.9, n_estimators=100, n_jobs=-1)",0.6483516483516484,0.48,0.3870967741935484,0.42857142857142855,0.6658602150537634,0.0027100271002710175,0.3516483516483516,100,0.9
"BaggingClassifier(n_estimators=100, n_jobs=-1)",0.6483516483516484,0.48,0.3870967741935484,0.42857142857142855,0.6551075268817205,0.0,0.3516483516483516,100,1.0
"BaggingClassifier(max_samples=0.5, n_estimators=200, n_jobs=-1)",0.6593406593406593,0.5,0.41935483870967744,0.45614035087719296,0.6865591397849462,0.054200542005420016,0.34065934065934067,200,0.5
"BaggingClassifier(max_samples=0.6, n_estimators=200, n_jobs=-1)",0.6483516483516484,0.48148148148148145,0.41935483870967744,0.4482758620689655,0.6693548387096774,0.013550135501354976,0.3516483516483516,200,0.6
"BaggingClassifier(max_samples=0.7, n_estimators=200, n_jobs=-1)",0.6593406593406593,0.5,0.41935483870967744,0.45614035087719296,0.6798387096774193,0.008130081300813052,0.34065934065934067,200,0.7
"BaggingClassifier(max_samples=0.8, n_estimators=200, n_jobs=-1)",0.6703296703296703,0.5185185185185185,0.45161290322580644,0.48275862068965514,0.6685483870967742,0.0,0.3296703296703297,200,0.8
"BaggingClassifier(max_samples=0.9, n_estimators=200, n_jobs=-1)",0.6483516483516484,0.4827586206896552,0.45161290322580644,0.4666666666666667,0.6736559139784947,0.0,0.3516483516483516,200,0.9
"BaggingClassifier(n_estimators=200, n_jobs=-1)",0.6703296703296703,0.5172413793103449,0.4838709677419355,0.5000000000000001,0.6650537634408602,0.0,0.3296703296703297,200,1.0
"BaggingClassifier(max_samples=0.5, n_estimators=300, n_jobs=-1)",0.6703296703296703,0.5185185185185185,0.45161290322580644,0.48275862068965514,0.6868279569892473,0.046070460704607075,0.3296703296703297,300,0.5
