Model,Accuracy,Precision,Recall,F1,ROC_AUC,Evaluation Metric,Train Error,Test Error,max_depth,min_samples_split,min_samples_leaf
DecisionTreeClassifier(max_depth=1),0.6373626373626373,0.4722222222222222,0.5483870967741935,0.5074626865671641,0.6158602150537634,Model with best accuracy,Train error: 0.2899728997289973,Test error: 0.3626373626373627,1,2,1
"DecisionTreeClassifier(max_depth=1, min_samples_leaf=2)",0.6373626373626373,0.4722222222222222,0.5483870967741935,0.5074626865671641,0.6158602150537634,Model with best accuracy,Train error: 0.2899728997289973,Test error: 0.3626373626373627,1,2,2
"DecisionTreeClassifier(max_depth=1, min_samples_leaf=3)",0.6373626373626373,0.4722222222222222,0.5483870967741935,0.5074626865671641,0.6158602150537634,Model with best accuracy,Train error: 0.2899728997289973,Test error: 0.3626373626373627,1,2,3
"DecisionTreeClassifier(max_depth=1, min_samples_leaf=4)",0.6373626373626373,0.4722222222222222,0.5483870967741935,0.5074626865671641,0.6158602150537634,Model with best accuracy,Train error: 0.2899728997289973,Test error: 0.3626373626373627,1,2,4
"DecisionTreeClassifier(max_depth=1, min_samples_split=3)",0.6373626373626373,0.4722222222222222,0.5483870967741935,0.5074626865671641,0.6158602150537634,Model with best accuracy,Train error: 0.2899728997289973,Test error: 0.3626373626373627,1,3,1
"DecisionTreeClassifier(max_depth=1, min_samples_leaf=2, min_samples_split=3)",0.6373626373626373,0.4722222222222222,0.5483870967741935,0.5074626865671641,0.6158602150537634,Model with best accuracy,Train error: 0.2899728997289973,Test error: 0.3626373626373627,1,3,2
"DecisionTreeClassifier(max_depth=1, min_samples_leaf=3, min_samples_split=3)",0.6373626373626373,0.4722222222222222,0.5483870967741935,0.5074626865671641,0.6158602150537634,Model with best accuracy,Train error: 0.2899728997289973,Test error: 0.3626373626373627,1,3,3
"DecisionTreeClassifier(max_depth=1, min_samples_leaf=4, min_samples_split=3)",0.6373626373626373,0.4722222222222222,0.5483870967741935,0.5074626865671641,0.6158602150537634,Model with best accuracy,Train error: 0.2899728997289973,Test error: 0.3626373626373627,1,3,4
"DecisionTreeClassifier(max_depth=1, min_samples_split=4)",0.6373626373626373,0.4722222222222222,0.5483870967741935,0.5074626865671641,0.6158602150537634,Model with best accuracy,Train error: 0.2899728997289973,Test error: 0.3626373626373627,1,4,1
"DecisionTreeClassifier(max_depth=1, min_samples_leaf=2, min_samples_split=4)",0.6373626373626373,0.4722222222222222,0.5483870967741935,0.5074626865671641,0.6158602150537634,Model with best accuracy,Train error: 0.2899728997289973,Test error: 0.3626373626373627,1,4,2
"DecisionTreeClassifier(max_depth=1, min_samples_leaf=3, min_samples_split=4)",0.6373626373626373,0.4722222222222222,0.5483870967741935,0.5074626865671641,0.6158602150537634,Model with best accuracy,Train error: 0.2899728997289973,Test error: 0.3626373626373627,1,4,3
"DecisionTreeClassifier(max_depth=1, min_samples_leaf=4, min_samples_split=4)",0.6373626373626373,0.4722222222222222,0.5483870967741935,0.5074626865671641,0.6158602150537634,Model with best accuracy,Train error: 0.2899728997289973,Test error: 0.3626373626373627,1,4,4
DecisionTreeClassifier(max_depth=2),0.6373626373626373,0.45454545454545453,0.3225806451612903,0.3773584905660377,0.6158602150537634,Model with best accuracy,Train error: 0.23306233062330628,Test error: 0.3626373626373627,2,2,1
"DecisionTreeClassifier(max_depth=2, min_samples_leaf=2)",0.6373626373626373,0.45454545454545453,0.3225806451612903,0.3773584905660377,0.6158602150537634,Model with best accuracy,Train error: 0.23306233062330628,Test error: 0.3626373626373627,2,2,2
"DecisionTreeClassifier(max_depth=2, min_samples_leaf=3)",0.6373626373626373,0.45454545454545453,0.3225806451612903,0.3773584905660377,0.6158602150537634,Model with best accuracy,Train error: 0.23306233062330628,Test error: 0.3626373626373627,2,2,3
"DecisionTreeClassifier(max_depth=2, min_samples_leaf=4)",0.6373626373626373,0.45454545454545453,0.3225806451612903,0.3773584905660377,0.6158602150537634,Model with best accuracy,Train error: 0.23306233062330628,Test error: 0.3626373626373627,2,2,4
"DecisionTreeClassifier(max_depth=2, min_samples_split=3)",0.6373626373626373,0.45454545454545453,0.3225806451612903,0.3773584905660377,0.6158602150537634,Model with best accuracy,Train error: 0.23306233062330628,Test error: 0.3626373626373627,2,3,1
"DecisionTreeClassifier(max_depth=2, min_samples_leaf=2, min_samples_split=3)",0.6373626373626373,0.45454545454545453,0.3225806451612903,0.3773584905660377,0.6158602150537634,Model with best accuracy,Train error: 0.23306233062330628,Test error: 0.3626373626373627,2,3,2
"DecisionTreeClassifier(max_depth=2, min_samples_leaf=3, min_samples_split=3)",0.6373626373626373,0.45454545454545453,0.3225806451612903,0.3773584905660377,0.6158602150537634,Model with best accuracy,Train error: 0.23306233062330628,Test error: 0.3626373626373627,2,3,3
"DecisionTreeClassifier(max_depth=2, min_samples_leaf=4, min_samples_split=3)",0.6373626373626373,0.45454545454545453,0.3225806451612903,0.3773584905660377,0.6158602150537634,Model with best accuracy,Train error: 0.23306233062330628,Test error: 0.3626373626373627,2,3,4
"DecisionTreeClassifier(max_depth=2, min_samples_split=4)",0.6373626373626373,0.45454545454545453,0.3225806451612903,0.3773584905660377,0.6158602150537634,Model with best accuracy,Train error: 0.23306233062330628,Test error: 0.3626373626373627,2,4,1
"DecisionTreeClassifier(max_depth=2, min_samples_leaf=2, min_samples_split=4)",0.6373626373626373,0.45454545454545453,0.3225806451612903,0.3773584905660377,0.6158602150537634,Model with best accuracy,Train error: 0.23306233062330628,Test error: 0.3626373626373627,2,4,2
"DecisionTreeClassifier(max_depth=2, min_samples_leaf=3, min_samples_split=4)",0.6373626373626373,0.45454545454545453,0.3225806451612903,0.3773584905660377,0.6158602150537634,Model with best accuracy,Train error: 0.23306233062330628,Test error: 0.3626373626373627,2,4,3
