Model,Accuracy,Precision,Recall,F1,ROC_AUC,Train Error,Test Error,n_estimators,max_depth
"RandomForestClassifier(max_depth=1, n_estimators=1)",0.6593406593406593,0.0,0.0,0.0,0.5647849462365591,Train error: 0.34688346883468835,Test error: 0.34065934065934067,1,1
"RandomForestClassifier(max_depth=2, n_estimators=1)",0.6043956043956044,0.3333333333333333,0.16129032258064516,0.21739130434782605,0.546505376344086,Train error: 0.26287262872628725,Test error: 0.39560439560439564,1,2
"RandomForestClassifier(max_depth=3, n_estimators=1)",0.6263736263736264,0.45161290322580644,0.45161290322580644,0.45161290322580644,0.6623655913978495,Train error: 0.24661246612466126,Test error: 0.37362637362637363,1,3
"RandomForestClassifier(max_depth=4, n_estimators=1)",0.6263736263736264,0.42105263157894735,0.25806451612903225,0.31999999999999995,0.5900537634408602,Train error: 0.24390243902439024,Test error: 0.37362637362637363,1,4
"RandomForestClassifier(max_depth=5, n_estimators=1)",0.6373626373626373,0.4583333333333333,0.3548387096774194,0.39999999999999997,0.6486559139784945,Train error: 0.22764227642276424,Test error: 0.3626373626373627,1,5
"RandomForestClassifier(max_depth=6, n_estimators=1)",0.6263736263736264,0.4117647058823529,0.22580645161290322,0.29166666666666663,0.5564516129032258,Train error: 0.23035230352303526,Test error: 0.37362637362637363,1,6
"RandomForestClassifier(max_depth=7, n_estimators=1)",0.6153846153846154,0.4411764705882353,0.4838709677419355,0.4615384615384615,0.5935483870967742,Train error: 0.20867208672086723,Test error: 0.3846153846153846,1,7
"RandomForestClassifier(max_depth=8, n_estimators=1)",0.5494505494505495,0.3611111111111111,0.41935483870967744,0.3880597014925373,0.5483870967741935,Train error: 0.1382113821138211,Test error: 0.4505494505494505,1,8
"RandomForestClassifier(max_depth=9, n_estimators=1)",0.5274725274725275,0.375,0.5806451612903226,0.4556962025316456,0.5373655913978495,Train error: 0.1517615176151762,Test error: 0.4725274725274725,1,9
"RandomForestClassifier(max_depth=1, n_estimators=2)",0.6593406593406593,0.0,0.0,0.0,0.6056451612903226,Train error: 0.34688346883468835,Test error: 0.34065934065934067,2,1
"RandomForestClassifier(max_depth=2, n_estimators=2)",0.6483516483516484,0.4,0.06451612903225806,0.1111111111111111,0.635483870967742,Train error: 0.31165311653116534,Test error: 0.3516483516483516,2,2
"RandomForestClassifier(max_depth=3, n_estimators=2)",0.5934065934065934,0.43478260869565216,0.6451612903225806,0.5194805194805194,0.6395161290322581,Train error: 0.29268292682926833,Test error: 0.4065934065934066,2,3
"RandomForestClassifier(max_depth=4, n_estimators=2)",0.6263736263736264,0.44,0.3548387096774194,0.3928571428571428,0.6494623655913979,Train error: 0.21138211382113825,Test error: 0.37362637362637363,2,4
"RandomForestClassifier(max_depth=5, n_estimators=2)",0.6813186813186813,0.53125,0.5483870967741935,0.5396825396825397,0.7284946236559141,Train error: 0.20867208672086723,Test error: 0.31868131868131866,2,5
"RandomForestClassifier(max_depth=6, n_estimators=2)",0.6703296703296703,0.5217391304347826,0.3870967741935484,0.4444444444444444,0.656989247311828,Train error: 0.19512195121951215,Test error: 0.3296703296703297,2,6
"RandomForestClassifier(max_depth=7, n_estimators=2)",0.6153846153846154,0.42857142857142855,0.3870967741935484,0.4067796610169491,0.6158602150537634,Train error: 0.14363143631436315,Test error: 0.3846153846153846,2,7
"RandomForestClassifier(max_depth=8, n_estimators=2)",0.6923076923076923,0.5652173913043478,0.41935483870967744,0.4814814814814815,0.6317204301075269,Train error: 0.15718157181571812,Test error: 0.3076923076923077,2,8
"RandomForestClassifier(max_depth=9, n_estimators=2)",0.6593406593406593,0.5,0.25806451612903225,0.3404255319148936,0.6470430107526881,Train error: 0.13008130081300817,Test error: 0.34065934065934067,2,9
"RandomForestClassifier(max_depth=1, n_estimators=3)",0.6813186813186813,0.6,0.1935483870967742,0.2926829268292683,0.6486559139784946,Train error: 0.2899728997289973,Test error: 0.31868131868131866,3,1
"RandomForestClassifier(max_depth=2, n_estimators=3)",0.6483516483516484,0.47368421052631576,0.2903225806451613,0.36,0.6602150537634408,Train error: 0.22493224932249323,Test error: 0.3516483516483516,3,2
"RandomForestClassifier(max_depth=3, n_estimators=3)",0.6483516483516484,0.48,0.3870967741935484,0.42857142857142855,0.663978494623656,Train error: 0.21680216802168017,Test error: 0.3516483516483516,3,3
"RandomForestClassifier(max_depth=4, n_estimators=3)",0.6923076923076923,0.5789473684210527,0.3548387096774194,0.44000000000000006,0.7099462365591398,Train error: 0.24390243902439024,Test error: 0.3076923076923077,3,4
"RandomForestClassifier(max_depth=5, n_estimators=3)",0.6813186813186813,0.5454545454545454,0.3870967741935484,0.45283018867924524,0.6543010752688171,Train error: 0.20054200542005418,Test error: 0.31868131868131866,3,5
"RandomForestClassifier(max_depth=6, n_estimators=3)",0.6483516483516484,0.48,0.3870967741935484,0.42857142857142855,0.7086021505376344,Train error: 0.16260162601626016,Test error: 0.3516483516483516,3,6
"RandomForestClassifier(max_depth=7, n_estimators=3)",0.7032967032967034,0.5666666666666667,0.5483870967741935,0.5573770491803278,0.6889784946236559,Train error: 0.1355013550135501,Test error: 0.29670329670329665,3,7
"RandomForestClassifier(max_depth=8, n_estimators=3)",0.6263736263736264,0.43478260869565216,0.3225806451612903,0.37037037037037035,0.6053763440860216,Train error: 0.09756097560975607,Test error: 0.37362637362637363,3,8
"RandomForestClassifier(max_depth=9, n_estimators=3)",0.6263736263736264,0.44,0.3548387096774194,0.3928571428571428,0.5911290322580646,Train error: 0.07588075880758804,Test error: 0.37362637362637363,3,9
"RandomForestClassifier(max_depth=1, n_estimators=4)",0.6593406593406593,0.5,0.06451612903225806,0.1142857142857143,0.6475806451612903,Train error: 0.34417344173441733,Test error: 0.34065934065934067,4,1
"RandomForestClassifier(max_depth=2, n_estimators=4)",0.6703296703296703,0.52,0.41935483870967744,0.46428571428571425,0.6717741935483871,Train error: 0.21680216802168017,Test error: 0.3296703296703297,4,2
"RandomForestClassifier(max_depth=3, n_estimators=4)",0.6703296703296703,0.5294117647058824,0.2903225806451613,0.375,0.686290322580645,Train error: 0.2195121951219512,Test error: 0.3296703296703297,4,3
"RandomForestClassifier(max_depth=4, n_estimators=4)",0.6813186813186813,0.5416666666666666,0.41935483870967744,0.4727272727272728,0.6701612903225806,Train error: 0.17886178861788615,Test error: 0.31868131868131866,4,4
"RandomForestClassifier(max_depth=5, n_estimators=4)",0.6373626373626373,0.4642857142857143,0.41935483870967744,0.44067796610169496,0.6728494623655914,Train error: 0.18157181571815717,Test error: 0.3626373626373627,4,5
"RandomForestClassifier(max_depth=6, n_estimators=4)",0.6703296703296703,0.5185185185185185,0.45161290322580644,0.48275862068965514,0.6518817204301075,Train error: 0.14092140921409213,Test error: 0.3296703296703297,4,6
"RandomForestClassifier(max_depth=7, n_estimators=4)",0.6373626373626373,0.4642857142857143,0.41935483870967744,0.44067796610169496,0.6330645161290323,Train error: 0.11653116531165308,Test error: 0.3626373626373627,4,7
"RandomForestClassifier(max_depth=8, n_estimators=4)",0.6263736263736264,0.42857142857142855,0.2903225806451613,0.34615384615384615,0.6825268817204301,Train error: 0.08130081300813008,Test error: 0.37362637362637363,4,8
"RandomForestClassifier(max_depth=9, n_estimators=4)",0.6373626373626373,0.46153846153846156,0.3870967741935484,0.42105263157894735,0.6349462365591397,Train error: 0.07046070460704612,Test error: 0.3626373626373627,4,9
"RandomForestClassifier(max_depth=1, n_estimators=5)",0.6703296703296703,0.6666666666666666,0.06451612903225806,0.1176470588235294,0.7169354838709677,Train error: 0.3062330623306233,Test error: 0.3296703296703297,5,1
"RandomForestClassifier(max_depth=2, n_estimators=5)",0.6373626373626373,0.4444444444444444,0.25806451612903225,0.32653061224489793,0.6674731182795699,Train error: 0.24119241192411922,Test error: 0.3626373626373627,5,2
"RandomForestClassifier(max_depth=3, n_estimators=5)",0.6483516483516484,0.4782608695652174,0.3548387096774194,0.40740740740740744,0.6771505376344087,Train error: 0.19512195121951215,Test error: 0.3516483516483516,5,3
