Model,Accuracy,Precision,Recall,F1,ROC_AUC,Train Error,Test Error,penalty,max_iter
"LogisticRegression(penalty='l1', solver='liblinear')",0.9823008849557522,1.0,0.9523809523809523,0.975609756097561,0.9976525821596244,0.04185022026431717,0.017699115044247815,l1,100
"LogisticRegression(max_iter=200, penalty='l1', solver='liblinear')",0.9823008849557522,1.0,0.9523809523809523,0.975609756097561,0.9976525821596244,0.04185022026431717,0.017699115044247815,l1,200
"LogisticRegression(max_iter=300, penalty='l1', solver='liblinear')",0.9823008849557522,1.0,0.9523809523809523,0.975609756097561,0.9976525821596244,0.04185022026431717,0.017699115044247815,l1,300
"LogisticRegression(max_iter=400, penalty='l1', solver='liblinear')",0.9823008849557522,1.0,0.9523809523809523,0.975609756097561,0.9976525821596244,0.04185022026431717,0.017699115044247815,l1,400
"LogisticRegression(max_iter=500, penalty='l1', solver='liblinear')",0.9823008849557522,1.0,0.9523809523809523,0.975609756097561,0.9976525821596244,0.04185022026431717,0.017699115044247815,l1,500
"LogisticRegression(max_iter=600, penalty='l1', solver='liblinear')",0.9823008849557522,1.0,0.9523809523809523,0.975609756097561,0.9976525821596244,0.04185022026431717,0.017699115044247815,l1,600
"LogisticRegression(max_iter=700, penalty='l1', solver='liblinear')",0.9823008849557522,1.0,0.9523809523809523,0.975609756097561,0.9976525821596244,0.04185022026431717,0.017699115044247815,l1,700
"LogisticRegression(max_iter=800, penalty='l1', solver='liblinear')",0.9823008849557522,1.0,0.9523809523809523,0.975609756097561,0.9976525821596244,0.04185022026431717,0.017699115044247815,l1,800
"LogisticRegression(max_iter=900, penalty='l1', solver='liblinear')",0.9823008849557522,1.0,0.9523809523809523,0.975609756097561,0.9976525821596244,0.04185022026431717,0.017699115044247815,l1,900
"LogisticRegression(max_iter=1000, penalty='l1', solver='liblinear')",0.9823008849557522,1.0,0.9523809523809523,0.975609756097561,0.9976525821596244,0.04185022026431717,0.017699115044247815,l1,1000
LogisticRegression(solver='liblinear'),0.9734513274336283,0.975609756097561,0.9523809523809523,0.963855421686747,0.9936284372904092,0.06167400881057272,0.026548672566371723,l2,100
"LogisticRegression(max_iter=200, solver='liblinear')",0.9734513274336283,0.975609756097561,0.9523809523809523,0.963855421686747,0.9936284372904092,0.06167400881057272,0.026548672566371723,l2,200
"LogisticRegression(max_iter=300, solver='liblinear')",0.9734513274336283,0.975609756097561,0.9523809523809523,0.963855421686747,0.9936284372904092,0.06167400881057272,0.026548672566371723,l2,300
"LogisticRegression(max_iter=400, solver='liblinear')",0.9734513274336283,0.975609756097561,0.9523809523809523,0.963855421686747,0.9936284372904092,0.06167400881057272,0.026548672566371723,l2,400
"LogisticRegression(max_iter=500, solver='liblinear')",0.9734513274336283,0.975609756097561,0.9523809523809523,0.963855421686747,0.9936284372904092,0.06167400881057272,0.026548672566371723,l2,500
"LogisticRegression(max_iter=600, solver='liblinear')",0.9734513274336283,0.975609756097561,0.9523809523809523,0.963855421686747,0.9936284372904092,0.06167400881057272,0.026548672566371723,l2,600
"LogisticRegression(max_iter=700, solver='liblinear')",0.9734513274336283,0.975609756097561,0.9523809523809523,0.963855421686747,0.9936284372904092,0.06167400881057272,0.026548672566371723,l2,700
"LogisticRegression(max_iter=800, solver='liblinear')",0.9734513274336283,0.975609756097561,0.9523809523809523,0.963855421686747,0.9936284372904092,0.06167400881057272,0.026548672566371723,l2,800
"LogisticRegression(max_iter=900, solver='liblinear')",0.9734513274336283,0.975609756097561,0.9523809523809523,0.963855421686747,0.9936284372904092,0.06167400881057272,0.026548672566371723,l2,900
"LogisticRegression(max_iter=1000, solver='liblinear')",0.9734513274336283,0.975609756097561,0.9523809523809523,0.963855421686747,0.9936284372904092,0.06167400881057272,0.026548672566371723,l2,1000
