Model,Accuracy,Precision,Recall,F1,ROC_AUC,Train Error,Test Error,C,kernel,gamma
"SVC(C=0.001, gamma=0.001, probability=True)",0.6593406593406593,0.0,0.0,0.0,0.6741935483870968,0.34688346883468835,0.34065934065934067,0.001,rbf,0.001
"SVC(C=0.001, gamma=0.01, probability=True)",0.6593406593406593,0.0,0.0,0.0,0.5634408602150538,0.34688346883468835,0.34065934065934067,0.001,rbf,0.01
"SVC(C=0.001, gamma=0.1, probability=True)",0.6593406593406593,0.0,0.0,0.0,0.489247311827957,0.34688346883468835,0.34065934065934067,0.001,rbf,0.1
"SVC(C=0.001, gamma=1.0, probability=True)",0.6593406593406593,0.0,0.0,0.0,0.45,0.34688346883468835,0.34065934065934067,0.001,rbf,1.0
"SVC(C=0.001, gamma=10.0, probability=True)",0.6593406593406593,0.0,0.0,0.0,0.5,0.34688346883468835,0.34065934065934067,0.001,rbf,10.0
"SVC(C=0.001, gamma=100.0, probability=True)",0.6593406593406593,0.0,0.0,0.0,0.5,0.34688346883468835,0.34065934065934067,0.001,rbf,100.0
"SVC(C=0.001, gamma=0.001, kernel='linear', probability=True)",0.7252747252747253,0.6363636363636364,0.45161290322580644,0.5283018867924528,0.7663978494623656,0.2764227642276422,0.27472527472527475,0.001,linear,0.001
"SVC(C=0.001, gamma=0.01, kernel='linear', probability=True)",0.7252747252747253,0.6363636363636364,0.45161290322580644,0.5283018867924528,0.7661290322580645,0.2764227642276422,0.27472527472527475,0.001,linear,0.01
"SVC(C=0.001, gamma=0.1, kernel='linear', probability=True)",0.7252747252747253,0.6363636363636364,0.45161290322580644,0.5283018867924528,0.7666666666666666,0.2764227642276422,0.27472527472527475,0.001,linear,0.1
"SVC(C=0.001, gamma=1.0, kernel='linear', probability=True)",0.7252747252747253,0.6363636363636364,0.45161290322580644,0.5283018867924528,0.7663978494623656,0.2764227642276422,0.27472527472527475,0.001,linear,1.0
"SVC(C=0.001, gamma=10.0, kernel='linear', probability=True)",0.7252747252747253,0.6363636363636364,0.45161290322580644,0.5283018867924528,0.7666666666666666,0.2764227642276422,0.27472527472527475,0.001,linear,10.0
"SVC(C=0.001, gamma=100.0, kernel='linear', probability=True)",0.7252747252747253,0.6363636363636364,0.45161290322580644,0.5283018867924528,0.7669354838709678,0.2764227642276422,0.27472527472527475,0.001,linear,100.0
"SVC(C=0.001, gamma=0.001, kernel='sigmoid', probability=True)",0.6593406593406593,0.0,0.0,0.0,0.5,0.34688346883468835,0.34065934065934067,0.001,sigmoid,0.001
"SVC(C=0.001, gamma=0.01, kernel='sigmoid', probability=True)",0.6593406593406593,0.0,0.0,0.0,0.5,0.34688346883468835,0.34065934065934067,0.001,sigmoid,0.01
"SVC(C=0.001, gamma=0.1, kernel='sigmoid', probability=True)",0.6593406593406593,0.0,0.0,0.0,0.5,0.34688346883468835,0.34065934065934067,0.001,sigmoid,0.1
"SVC(C=0.001, gamma=1.0, kernel='sigmoid', probability=True)",0.6593406593406593,0.0,0.0,0.0,0.5,0.34688346883468835,0.34065934065934067,0.001,sigmoid,1.0
