Configuration,Accuracy,Train Error
"[10, 10, 10, 0.01]",0.6744,0.6774
"[10, 10, 10, 0.11]",0.5712,0.57042
"[10, 10, 10, 0.21000000000000002]",0.2484,0.24454
"[10, 10, 10, 0.31000000000000005]",0.2095,0.20516
"[10, 10, 10, 0.41000000000000003]",0.2874,0.28708
"[10, 10, 10, 0.51]",0.1024,0.10424
"[10, 10, 10, 0.6100000000000001]",0.1016,0.10308
"[10, 10, 10, 0.7100000000000001]",0.101,0.10204
"[10, 10, 10, 0.81]",0.1008,0.1019
"[10, 10, 10, 0.91]",0.101,0.10204
"[10, 30, 10, 0.01]",0.7475,0.75302
"[10, 30, 10, 0.11]",0.5366,0.53468
"[10, 30, 10, 0.21000000000000002]",0.4569,0.45562
"[10, 30, 10, 0.31000000000000005]",0.2243,0.22576
"[10, 30, 10, 0.41000000000000003]",0.1109,0.10948
"[10, 30, 10, 0.51]",0.098,0.09864
"[10, 30, 10, 0.6100000000000001]",0.2064,0.19854
"[10, 30, 10, 0.7100000000000001]",0.1156,0.11056
"[10, 30, 10, 0.81]",0.3026,0.30182
"[10, 30, 10, 0.91]",0.1273,0.12554
"[10, 50, 10, 0.01]",0.8559,0.85372
"[10, 50, 10, 0.11]",0.7546,0.75366
"[10, 50, 10, 0.21000000000000002]",0.1573,0.16112
"[10, 50, 10, 0.31000000000000005]",0.3395,0.33752
"[10, 50, 10, 0.41000000000000003]",0.213,0.21084
"[10, 50, 10, 0.51]",0.172,0.16968
"[10, 50, 10, 0.6100000000000001]",0.1767,0.17746
"[10, 50, 10, 0.7100000000000001]",0.101,0.10202
"[10, 50, 10, 0.81]",0.2085,0.20954
"[10, 50, 10, 0.91]",0.098,0.09864
"[25, 10, 10, 0.01]",0.6706,0.67464
"[25, 10, 10, 0.11]",0.5809,0.57618
"[25, 10, 10, 0.21000000000000002]",0.213,0.21638
"[25, 10, 10, 0.31000000000000005]",0.1019,0.10266
"[25, 10, 10, 0.41000000000000003]",0.2481,0.25314
"[25, 10, 10, 0.51]",0.1012,0.1021
"[25, 10, 10, 0.6100000000000001]",0.1572,0.15554
"[25, 10, 10, 0.7100000000000001]",0.101,0.10102
"[25, 10, 10, 0.81]",0.1019,0.10278
"[25, 10, 10, 0.91]",0.1013,0.10222
"[25, 30, 10, 0.01]",0.7608,0.76564
"[25, 30, 10, 0.11]",0.451,0.4449
"[25, 30, 10, 0.21000000000000002]",0.3004,0.29364
"[25, 30, 10, 0.31000000000000005]",0.3043,0.29322
"[25, 30, 10, 0.41000000000000003]",0.1135,0.11356
"[25, 30, 10, 0.51]",0.101,0.10202
"[25, 30, 10, 0.6100000000000001]",0.2563,0.25222
"[25, 30, 10, 0.7100000000000001]",0.2406,0.23636
"[25, 30, 10, 0.81]",0.0982,0.09718
"[25, 30, 10, 0.91]",0.101,0.10202
